id,project_id,assignee_member_id,reporter_member_id,source_document_id,title,description,severity,status,source_type,approval_status,confidence_score,is_candidate,risk_reason,domino_chain,due_at,created_at,updated_at
9233a813-01f2-5134-965b-f2925598d3eb,0a4f9295-ac96-59f7-b09d-fb82f68610c8,f2790941-d2e2-5684-a3c4-9d5190079275,b6ce97f8-0c0d-5492-88f5-8e92d3955338,098abffd-bf7d-5aa6-9c2c-93b55c995afb,[DUMMY] Daesung Automotive 긴급 발주 대응,"Daesung Automotive가 AP-CN-204 5,000개 긴급 납품을 요청하여 재고 확인, 구매처 협의, 출고 우선순위 조정이 발생함",high,resolved,manual,approved,85,False,"Daesung Automotive가 AP-CN-204 5,000개 긴급 납품을 요청하여 재고 확인, 구매처 협의, 출고 우선순위 조정이 발생함",납기 -> 고객 생산 일정 -> 긴급 운송 비용,2025-06-24T09:00:00+09:00,2025-06-10T09:00:00+09:00,2026-06-01T09:00:00+09:00
0412ea39-d6f9-5863-a8e7-dc95475a23ec,0a4f9295-ac96-59f7-b09d-fb82f68610c8,14c5dea0-99cd-5f9c-805f-c54d1c288527,b6ce97f8-0c0d-5492-88f5-8e92d3955338,91fd9618-9ff5-55eb-af07-95bb1f59ce4f,[DUMMY] KET Supplier 재고 부족으로 납기 지연 가능,KET Supplier의 AP-WH-220 재고 부족으로 Hyundai Mobis Tier2 납기 지연 위험이 발생함,high,resolved,manual,approved,85,False,KET Supplier의 AP-WH-220 재고 부족으로 Hyundai Mobis Tier2 납기 지연 위험이 발생함,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2025-08-29T09:00:00+09:00,2025-08-05T09:00:00+09:00,2026-06-01T09:00:00+09:00
26571714-8186-59a7-a8eb-f4247147a0bd,0a4f9295-ac96-59f7-b09d-fb82f68610c8,1c3dbb27-e66e-5657-b375-24a86482d558,b6ce97f8-0c0d-5492-88f5-8e92d3955338,8511f1b6-9b61-5f4e-aedf-d3ab93025679,[DUMMY] Global Harness Vietnam 수출 서류 누락 통관 지연,Global Harness Vietnam 출하 건에서 원산지 증명 서류 누락으로 통관 지연이 발생함,medium,resolved,manual,approved,85,False,Global Harness Vietnam 출하 건에서 원산지 증명 서류 누락으로 통관 지연이 발생함,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2025-09-22T09:00:00+09:00,2025-09-08T09:00:00+09:00,2026-06-01T09:00:00+09:00
b695f8df-391a-5db1-ad1e-404f6b74dda5,0a4f9295-ac96-59f7-b09d-fb82f68610c8,458f1e97-c467-55f5-9f49-8de9d5d6cabf,b6ce97f8-0c0d-5492-88f5-8e92d3955338,7f1370b9-26ea-5360-963d-998a5b21aa9c,[DUMMY] Mirae EV Systems 센서 케이블 반복 클레임,Mirae EV Systems에서 AP-SC-330 센서 케이블 접촉 불량 클레임이 반복 접수됨,high,in_progress,manual,approved,85,False,Mirae EV Systems에서 AP-SC-330 센서 케이블 접촉 불량 클레임이 반복 접수됨,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2025-12-03T09:00:00+09:00,2025-11-04T09:00:00+09:00,2026-06-01T09:00:00+09:00
4d6d5820-ded7-526d-a728-9cfa30993bb2,0a4f9295-ac96-59f7-b09d-fb82f68610c8,d2079b50-ac73-51af-b94b-106cf384cfbd,b6ce97f8-0c0d-5492-88f5-8e92d3955338,782fd7cd-1fb6-5ac3-aaff-14c28fd5e6a3,[DUMMY] Yazaki Parts Asia 리드타임 8주에서 12주 증가,Yazaki Parts Asia가 AP-RL-450 리드타임을 8주에서 12주로 변경 공지함,medium,resolved,manual,approved,85,False,Yazaki Parts Asia가 AP-RL-450 리드타임을 8주에서 12주로 변경 공지함,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-01-10T09:00:00+09:00,2025-12-02T09:00:00+09:00,2026-06-01T09:00:00+09:00
6654ff19-12ea-5412-8af5-958f74400da0,0a4f9295-ac96-59f7-b09d-fb82f68610c8,88031485-b23f-5e98-bf28-4f157180e78c,b6ce97f8-0c0d-5492-88f5-8e92d3955338,5c36c8d3-13e9-540f-ae08-c75a44311806,[DUMMY] Hyundai Mobis Tier2 긴급 항공 이송,Hyundai Mobis Tier2 납기 대응을 위해 AP-TM-118 일부 수량을 항공 긴급 이송함,high,resolved,manual,approved,85,False,Hyundai Mobis Tier2 납기 대응을 위해 AP-TM-118 일부 수량을 항공 긴급 이송함,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-02-19T09:00:00+09:00,2026-02-06T09:00:00+09:00,2026-06-01T09:00:00+09:00
2c14d7dd-a0cb-59a9-9da6-8384ff4d01f5,0a4f9295-ac96-59f7-b09d-fb82f68610c8,c3f365be-d56d-52d7-be68-83627bdf3e90,b6ce97f8-0c0d-5492-88f5-8e92d3955338,fb52b609-abf6-59b1-a30d-10ee44d54a30,[DUMMY] TE Connectivity Korea 단가 7% 인상 통보,TE Connectivity Korea가 주요 커넥터 단가 7% 인상을 통보하여 고객 단가 협상이 필요함,medium,open,manual,approved,85,False,TE Connectivity Korea가 주요 커넥터 단가 7% 인상을 통보하여 고객 단가 협상이 필요함,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-05-02T09:00:00+09:00,2026-04-03T09:00:00+09:00,2026-06-01T09:00:00+09:00
e47e5ad6-7b5f-5ed1-bd0c-e1c9be4d18d1,0a4f9295-ac96-59f7-b09d-fb82f68610c8,b6ce97f8-0c0d-5492-88f5-8e92d3955338,b6ce97f8-0c0d-5492-88f5-8e92d3955338,4c984cfe-95f8-5df6-ab1a-3b528208ac61,[DUMMY] 박서연 담당 고객 인수인계 준비,박서연 담당 Hyundai Mobis Tier2와 Daesung Automotive 업무 일부를 이민재에게 인수인계해야 함,high,open,manual,approved,85,False,박서연 담당 Hyundai Mobis Tier2와 Daesung Automotive 업무 일부를 이민재에게 인수인계해야 함,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-06-01T09:00:00+09:00,2026-05-12T09:00:00+09:00,2026-06-01T09:00:00+09:00
913cdf3c-07b2-5040-b153-ab77664c73c1,0a4f9295-ac96-59f7-b09d-fb82f68610c8,f2790941-d2e2-5684-a3c4-9d5190079275,b6ce97f8-0c0d-5492-88f5-8e92d3955338,fd6e1b5c-e9a6-5ae4-8b34-1dea999a179a,[DUMMY] Hanil Motors 정기 발주 수량 변경,Hanil Motors가 7월 정기 발주 수량을 일부 조정함,low,resolved,manual,approved,85,False,Hanil Motors가 7월 정기 발주 수량을 일부 조정함,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2025-07-18T09:00:00+09:00,2025-07-12T09:00:00+09:00,2026-06-01T09:00:00+09:00
9ed427ad-6202-5b20-92b9-fd397720aeec,0a4f9295-ac96-59f7-b09d-fb82f68610c8,14c5dea0-99cd-5f9c-805f-c54d1c288527,b6ce97f8-0c0d-5492-88f5-8e92d3955338,187c33f6-1464-5651-b323-2ab4bfc6f5d4,[DUMMY] Hyundai Mobis Tier2 납기 일정 반복 변경 긴급 주문,"고객 긴급 주문과 구매처 생산 일정 변경, 물류 출고 가능일 확인이 서로 다르게 전달되어 확정 납기와 임시 납기가 혼재된 이슈",high,in_progress,manual,approved,85,False,"고객 긴급 주문과 구매처 생산 일정 변경, 물류 출고 가능일 확인이 서로 다르게 전달되어 확정 납기와 임시 납기가 혼재된 이슈",납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-07-29T09:00:00+09:00,2026-07-08T09:00:00+09:00,2026-06-01T09:00:00+09:00
6d1cca90-2ed5-5e8b-a4a7-6dfc2cb1b1a5,0a4f9295-ac96-59f7-b09d-fb82f68610c8,1c3dbb27-e66e-5657-b375-24a86482d558,b6ce97f8-0c0d-5492-88f5-8e92d3955338,a7a8b55d-1dee-5df0-86fb-c56d40439800,[DUMMY] Daesung Automotive 케이블 클레임 원인 불명확,고객은 외관 이상을 제기했지만 생산 불량인지 운송 중 박스 손상인지 원인이 확정되지 않은 클레임 이슈,medium,in_progress,manual,approved,85,False,고객은 외관 이상을 제기했지만 생산 불량인지 운송 중 박스 손상인지 원인이 확정되지 않은 클레임 이슈,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-08-22T09:00:00+09:00,2026-08-04T09:00:00+09:00,2026-06-01T09:00:00+09:00
9bfc30f6-e383-51ed-958d-52ec33d9b5b7,0a4f9295-ac96-59f7-b09d-fb82f68610c8,458f1e97-c467-55f5-9f49-8de9d5d6cabf,b6ce97f8-0c0d-5492-88f5-8e92d3955338,c2d811c8-12ba-5212-a065-1d038069a328,[DUMMY] TE Connectivity Korea 단가 인상 공지와 구두 합의 충돌,공식 단가 인상 공지와 이전 구두 합의가 충돌하여 고객 단가 제안 기준과 마진 영향 계산이 불확실한 이슈,high,in_progress,manual,approved,85,False,공식 단가 인상 공지와 이전 구두 합의가 충돌하여 고객 단가 제안 기준과 마진 영향 계산이 불확실한 이슈,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-09-26T09:00:00+09:00,2026-09-01T09:00:00+09:00,2026-06-01T09:00:00+09:00
e5b9fcd4-ba51-5392-80db-cf7768790ffc,0a4f9295-ac96-59f7-b09d-fb82f68610c8,d2079b50-ac73-51af-b94b-106cf384cfbd,b6ce97f8-0c0d-5492-88f5-8e92d3955338,70ac9a78-dd53-5d43-8bf7-c63bd563174f,[DUMMY] Global Harness Vietnam 월말 출고 확인 누락,시스템상 출고 완료이나 고객 수령 확인이 늦게 도착해 월말 매출 인식 여부가 흔들린 이슈,medium,resolved,manual,approved,85,False,시스템상 출고 완료이나 고객 수령 확인이 늦게 도착해 월말 매출 인식 여부가 흔들린 이슈,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-11-05T09:00:00+09:00,2026-10-24T09:00:00+09:00,2026-06-01T09:00:00+09:00
86540303-bc9c-5606-aa86-e98b9738bbc2,0a4f9295-ac96-59f7-b09d-fb82f68610c8,88031485-b23f-5e98-bf28-4f157180e78c,b6ce97f8-0c0d-5492-88f5-8e92d3955338,3a033ea3-30d1-5c77-bb71-fea186f69430,[DUMMY] Mirae EV Systems 담당자 휴가 중 임시 인수인계 누락,담당자 휴가 중 고객 요청 일부가 임시 담당자에게 전달되지 않아 회신 지연과 Todo 누락이 발생한 인수인계 이슈,medium,in_progress,manual,approved,85,False,담당자 휴가 중 고객 요청 일부가 임시 담당자에게 전달되지 않아 회신 지연과 Todo 누락이 발생한 인수인계 이슈,납기 -> 고객 생산 일정 -> 긴급 운송 비용,2026-12-20T09:00:00+09:00,2026-12-05T09:00:00+09:00,2026-06-01T09:00:00+09:00
